DomainName,IPAddress,Latitude,Longitude,DistanceTo,TTL,Time8B,Time64kB
facebook.com,69.171.230.68,51.5074,-0.127758,1191.07212937153,,,
twitter.com,104.244.42.65,37.7758,-122.4128,9371.44643286157,,,
google.com,195.95.178.82,44.5132,26.0806,994.996082768249,,,
youtube.com,195.95.178.110,44.5132,26.0806,994.996082768249,,,
wordpress.org,66.155.40.250,33.7516,-84.3915,7871.56575149886,,,
adobe.com,192.150.16.117,37.2872,-121.95,9404.12614215299,,,
blogspot.com,216.58.211.41,37.4192,-122.0574,9394.68873480664,,,
wikipedia.org,91.198.174.192,51.4988,3.611,932.878694199209,,,
linkedin.com,108.174.2.129,37.4192,-122.0574,9394.68873480664,,,
wordpress.com,192.0.78.9,37.7484,-122.4156,9374.32576416622,,,
yahoo.com,2001:4998:c:a06::2:4008,37.4172,-122.025,9393.70876487318,,,
amazon.com,54.239.25.192,39.0335,-77.4838,7021.30043237676,,,
flickr.com,69.147.76.173,37.4249,-122.0074,9392.28658453163,,,
pinterest.com,104.156.85.84,37.7697,-122.3933,9371.36157572122,,,
tumblr.com,66.6.41.30,40.7391,-73.9826,6675.3628284939,,,
w3.org,128.30.52.45,42.3646,-71.1028,6376.71030756176,,,
apple.com,17.178.96.59,37.3042,-122.0946,9407.69198603165,,,
myspace.com,63.135.90.70,34.0995,-118.4143,9587.8539145983,,,
vimeo.com,104.156.81.217,37.7697,-122.3933,9371.36157572122,,,
microsoft.com,191.239.213.197,53.3498,-6.26031,1598.76442625834,,,
youtu.be,195.95.178.103,44.5132,26.0806,994.996082768249,,,
qq.com,163.177.65.160,23.1167,113.25,8443.32317446227,,,
digg.com,184.169.154.67,37.3394,-121.895,9396.82870037617,,,
baidu.com,180.149.132.47,39.9289,116.3883,7237.08660546647,,,
stumbleupon.com,199.30.80.32,37.3961,-121.9617,9393.53191348664,,,
addthis.com,104.16.63.133,37.7697,-122.3933,9371.36157572122,,,
statcounter.com,104.20.3.47,37.7697,-122.3933,9371.36157572122,,,
feedburner.com,195.95.178.117,44.5132,26.0806,994.996082768249,,,
miibeian.gov.cn,miibeian.gov.cn,0,0,5904.19023439229,,,
delicious.com,54.191.106.34,45.7788,-119.529,8464.88012401601,,,
nytimes.com,170.149.161.130,40.7355,-74.1741,6687.32480145462,,,
reddit.com,198.41.209.139,37.7697,-122.3933,9371.36157572122,,,
weebly.com,74.115.50.109,37.7697,-122.3933,9371.36157572122,,,
bbc.co.uk,212.58.244.23,51.5176,-0.1612,1193.28921985841,,,
blogger.com,216.58.211.41,37.4192,-122.0574,9394.68873480664,,,
msn.com,23.101.196.141,37.7749,-122.4194,9371.77568149806,,,
macromedia.com,192.150.16.118,37.2872,-121.95,9404.12614215299,,,
goo.gl,195.95.178.82,44.5132,26.0806,994.996082768249,,,
instagram.com,52.0.227.212,39.0335,-77.4838,7021.30043237676,,,
gov.uk,23.235.37.144,37.7697,-122.3933,9371.36157572122,,,
icio.us,54.213.223.207,45.7788,-119.529,8464.88012401601,,,
yandex.ru,5.255.255.55,55.7363,37.5884,1449.72444022925,,,
cnn.com,157.166.226.26,33.749,-84.388,7871.57408883046,,,
webs.com,75.98.17.19,42.4246,-71.2465,6381.05663222635,,,
google.de,195.95.178.109,44.5132,26.0806,994.996082768249,,,
t.co,199.16.156.11,37.7697,-122.3933,9371.36157572122,,,
livejournal.com,208.93.0.150,37.7909,-122.4017,9369.51506618047,,,
imdb.com,207.171.166.22,39.0335,-77.4838,7021.30043237676,,,
mail.ru,217.69.139.201,52.6042,39.5334,1547.9630981185,,,
jimdo.com,62.116.130.8,49.0173,12.1004,421.31400618972,,,
sourceforge.net,216.34.181.60,38.65,-90.5334,7810.21370208301,,,
go.com,199.181.131.249,33.7866,-118.2987,9614.35173565699,,,
tinyurl.com,104.20.87.65,37.7697,-122.3933,9371.36157572122,,,
vk.com,2a00:bdc0:3:103:1:0:403:905,59.9459,30.3778,1288.56715129747,,,
google.co.jp,195.95.178.110,44.5132,26.0806,994.996082768249,,,
fc2.com,54.193.38.89,37.3394,-121.895,9396.82870037617,,,
