DomainName,IPAddress,Latitude,Longitude,DistanceTo,TTL,Time8B,Time64kB
facebook.com,69.171.230.68,51.5074,-0.127758,1191.07212937153,19,212,
twitter.com,104.244.42.65,37.7758,-122.4128,9371.44643286157,10,41,
google.com,195.95.178.82,44.5132,26.0806,994.996082768249,14,72,
youtube.com,195.95.178.110,44.5132,26.0806,994.996082768249,14,68,
wordpress.org,66.155.40.250,33.7516,-84.3915,7871.56575149886,14,224,
blogspot.com,216.58.211.41,37.4192,-122.0574,9394.68873480664,13,38,
wikipedia.org,91.198.174.192,51.4988,3.611,932.878694199209,12,54,
linkedin.com,108.174.2.129,37.4192,-122.0574,9394.68873480664,13,126,
wordpress.com,192.0.78.9,37.7484,-122.4156,9374.32576416622,12,37,
flickr.com,69.147.76.173,37.4249,-122.0074,9392.28658453163,16,151,
pinterest.com,104.156.85.84,37.7697,-122.3933,9371.36157572122,11,48,
tumblr.com,66.6.41.30,40.7391,-73.9826,6675.3628284939,17,139,
myspace.com,63.135.90.70,34.0995,-118.4143,9587.8539145983,19,153,
vimeo.com,104.156.81.217,37.7697,-122.3933,9371.36157572122,11,43,
youtu.be,195.95.178.103,44.5132,26.0806,994.996082768249,14,81,
addthis.com,104.16.63.133,37.7697,-122.3933,9371.36157572122,10,14,
statcounter.com,104.20.3.47,37.7697,-122.3933,9371.36157572122,10,23,
feedburner.com,195.95.178.117,44.5132,26.0806,994.996082768249,14,77,
reddit.com,198.41.209.139,37.7697,-122.3933,9371.36157572122,10,16,
bbc.co.uk,212.58.244.23,51.5176,-0.1612,1193.28921985841,15,42,
blogger.com,216.58.211.41,37.4192,-122.0574,9394.68873480664,13,36,
macromedia.com,192.150.16.118,37.2872,-121.95,9404.12614215299,15,166,
goo.gl,195.95.178.82,44.5132,26.0806,994.996082768249,14,71,
gov.uk,23.235.37.144,37.7697,-122.3933,9371.36157572122,11,48,
yandex.ru,5.255.255.55,55.7363,37.5884,1449.72444022925,12,83,
webs.com,75.98.17.19,42.4246,-71.2465,6381.05663222635,14,152,
google.de,195.95.178.109,44.5132,26.0806,994.996082768249,14,69,
mail.ru,217.69.139.201,52.6042,39.5334,1547.9630981185,12,54,
jimdo.com,62.116.130.8,49.0173,12.1004,421.31400618972,12,42,
sourceforge.net,216.34.181.60,38.65,-90.5334,7810.21370208301,16,163,
go.com,199.181.131.249,33.7866,-118.2987,9614.35173565699,18,213,
tinyurl.com,104.20.87.65,37.7697,-122.3933,9371.36157572122,10,14,
google.co.jp,195.95.178.110,44.5132,26.0806,994.996082768249,14,69,
free.fr,212.27.48.10,48.8712,2.32141,1078.60056741386,19,219,
joomla.org,72.29.124.146,38.6143,-90.4444,7808.35690359237,16,168,
creativecommons.org,104.20.78.18,37.7697,-122.3933,9371.36157572122,10,14,
typepad.com,104.16.106.123,37.7697,-122.3933,9371.36157572122,10,15,
networkadvertising.org,198.101.192.213,29.4889,-98.3987,9058.41938289093,18,207,
technorati.com,208.66.66.66,37.7796,-122.393,9370.346991414,13,214,
theguardian.com,104.156.85.67,37.7697,-122.3933,9371.36157572122,11,39,
nih.gov,107.21.104.61,39.0335,-77.4838,7021.30043237676,19,129,
google.co.uk,195.95.178.95,44.5132,26.0806,994.996082768249,14,66,
wsj.com,205.203.140.65,40.749,-73.9865,6674.84248924571,19,148,
bing.com,204.79.197.200,47.6801,-122.1206,8360.40937684831,10,16,
rambler.ru,81.19.77.6,55.7522,37.6156,1451.7630427293,15,49,
guardian.co.uk,104.156.85.233,37.7697,-122.3933,9371.36157572122,11,41,
geocities.com,98.137.201.117,37.4249,-122.0074,9392.28658453163,17,156,
slideshare.net,108.174.11.10,37.4192,-122.0574,9394.68873480664,14,146,
washingtonpost.com,192.33.31.56,37.4192,-122.0574,9394.68873480664,11,40,
forbes.com,63.240.4.179,40.8915,-73.9471,6661.52881044839,19,142,
etsy.com,192.147.0.123,40.7029,-73.9894,6678.55189851396,17,124,
dailymotion.com,195.8.215.136,48.8887,2.32781,1077.53084662976,13,49,
soundcloud.com,93.184.220.127,34.0188,-118.455,9597.56039110904,9,59,
usatoday.com,159.54.238.69,38.9358,-77.1621,7009.51235470439,15,129,
yelp.com,104.16.57.23,37.7697,-122.3933,9371.36157572122,10,16,
posterous.com,216.146.46.11,42.9885,-71.4652,6352.65549933133,13,132,
telegraph.co.uk,62.159.74.50,50.9375,6.96028,704.244952312649,9,41,
google.fr,195.95.178.95,44.5132,26.0806,994.996082768249,14,70,
constantcontact.com,208.75.122.14,42.403,-71.259,6383.42307157126,14,142,
phoca.cz,213.211.34.110,49.2,16.6333,213.172885361796,19,61,
phpbb.com,140.211.15.244,45.1136,-122.9478,8646.0954116034,14,223,
latimes.com,192.187.93.86,41.9288,-87.6315,7373.23194939107,13,211,
e-recht24.de,46.231.88.229,50.8839,6.90004,709.032671702891,14,43,
opera.com,82.145.215.49,64.1333,-21.9333,2672.62690295704,11,44,
scribd.com,185.31.17.175,52.2055,7.54486,665.490402798701,11,42,
wikimedia.org,91.198.174.192,51.4988,3.611,932.878694199209,12,55,
deviantart.com,54.230.15.73,47.542,-122.3123,8380.40754561502,15,34,
addtoany.com,104.20.34.35,37.7697,-122.3933,9371.36157572122,10,17,
time.com,192.0.79.33,37.7484,-122.4156,9374.32576416622,11,49,
google.it,195.95.178.102,44.5132,26.0806,994.996082768249,14,77,
