Short,Name,URL
AD,University of Andorra,www.uda.ad
AE,Abu Dhabi University,www.adu.ac.ae
AE,Ajman University of Science & Technology,www.ajman.ac.ae
AE,Alain University of Science and Technology,www.alainuniversity.ac.ae
AE,Al Ghurair University,www.agu.ae
AE,Alhosn University,www.alhosnu.ae
AE,Al Khawarizmi International College,www.khawarizmi.com
AE,American College Of Dubai,www.acd.ac.ae
AE,American University in Dubai,www.aud.edu
AE,American University in the Emirates,www.aue.ae
AE,American University of Sharjah,www.aus.edu
AE,British University in Dubai,www.buid.ac.ae
AE,Dubai Medical College for Girls,www.dmcg.edu
AE,Dubai Pharmacy College,www.dpc.edu
AE,Etisalat University College,www.ece.ac.ae
AE,Gulf Medical University,www.gmu.ac.ae
AE,Hamdan Bin Mohammed e-University,www.hbmeu.ac.ae
AE,Higher Colleges of Technology,www.hct.ac.ae
AE,Ittihad University,www.ittihad.ac.ae
AE,Jumeira University,www.ju.ac.ae
AE,Khalifa University,www.kustar.ac.ae
AE,"Khalifa University of Science, Technology and Research",www.ku.ac.ae
AE,Masdar University Of Science And Technology,www.masdar.ac.ae
AE,"New York University, Abu Dhabi",nyuad.nyu.edu
AE,Paris-Sorbonne University Abu Dhabi,www.sorbonne.ae
AE,Rak Medical & Health Sciences University,www.rakmhsu.com
AE,"Rochester Institute of Technology, Dubai",dubai.rit.edu
AE,"Skyline University College, Sharjah",www.skylineuniversity.com
AE,"Synergy University, Dubai Campus",www.synergydubai.ae
AE,The Emirates Academy of Hotel Managment,www.emiratesacademy.edu
AE,The Petroleum Institute,www.pi.ac.ae
AE,United Arab Emirates University,www.uaeu.ac.ae
AE,University Of Dubai,www.ud.ac.ae
AE,University of Jazeera,www.uojazeera.com
AE,University of Sharjah,www.sharjah.ac.ae
AE,University of Wollongong - Dubai Campus,www.uowdubai.ac.ae
AE,Zayed University,www.zu.ac.ae
AF,Afghan University,www.afghanuniversity.edu.af
AF,Al-Birony University,www.au.edu.af
AF,American University of Afghanistan,www.auaf.edu.af
AF,Aria Institute of Higher Education,www.aria.edu.af
AF,Badakhshan University,www.badakhshan.edu.af
AF,Baghlan University,www.baghlan.edu.af
AF,Bakhtar University,www.bakhtar.edu.af
AF,Balkh University,www.ba.edu.af
AF,Bamiyan University,www.bu.edu.af
AF,Bost University,www.bost.edu.af
AF,Dawat University,www.dawat.edu.af
AF,Dunya Institute of Higher Education,www.dunya.edu.af
AF,Faryab Higher Education Institute,www.faryab.edu.af
AF,Ghazni University,www.gu.edu.af
AF,Herat University,www.hu.edu.af
AF,Ibn Sina University,www.ibnesina.edu.af
AF,Jawzjan University,www.ju.edu.af
AF,Kaboora Institute of Higher Education,www.kaboora.edu.af
AF,Kabul Education University,www.keu.edu.af
AF,Kabul Health Sciences Institute,www.kabuli.edu.af
AF,Kabul Medical University,www.kmu.edu.af
AF,Kabul University,www.ku.edu.af
AF,Kandahar University,www.kan.edu.af
AF,Kardan University,www.kardan.edu.af
AF,Karwan Institute of Higher Education,www.karwan.edu.af
AF,Kateb Institute of Higher Education,www.kateb.edu.af
AF,Khana-e-Noor Institute of Higher Education,www.ken.edu.af
AF,Khurasan University,www.kumsa.net
AF,Maryam Institute of Higher Education,www.maryam.edu.af
AF,Nangarhar University,www.nu.edu.af
AF,National Military Academy of Afghanistan,www.nmaa.edu.af
AF,Paktia University,www.pu.edu.af
AF,Pamir University,www.pamir.edu.af
AF,Parwan University,www.parwan.edu.af
AF,Polytechnical University of Kabul,www.polytechnic-kabul.org
AF,Rana Institute of Higher Education,www.rihs.edu.af
AF,Sadat Institute of Higher Education,www.sadat.edu.af
AF,Salam University,www.salam.edu.af
AF,Shaikh Zayed University,www.szu.edu.af
AF,Taj Institute of Higher Education,www.taj.edu.af
AF,Takhar University,www.tu.edu.af
AG,American University of Antigua,www.auamed.org
AG,University of Health Sciences Antigua,www.uhsa.ag
AL,Academy of Arts,www.akademiaearteve.edu.al
AL,Academy of Sports and Physical Training,www.aefs.edu.al
AL,Agricultural University of Tirane,www.ubt.edu.al
AL,American University of Tirana,www.uat.edu.al
AL,Beder University,www.beder.edu.al
AL,Epoka University,www.epoka.edu.al
AL,Polytechnic University of Tirane,www.upt.al
AL,"University of Elbasan ""Aleksander Xhuvani""",www.uniel.edu.al
AL,"University of Gjirokstra ""Eqerem Cabej""",www.uogj.edu.al
AL,"University of Korca ""Fan Noli""",www.unkorce.edu.al
AL,University of New York Tirana,www.unyt.edu.al
AL,"University of Shkodra ""Luigj Gurakuqi""",www.unishk.edu.al
AL,University of Tirana,www.unitir.edu.al
AL,"University of Vlora ""Ismail Qemali""",www.univlora.edu.al
AL,University “Pavaresia” Vlore,www.unipavaresia.edu.al
AM,American University of Armenia,www.aua.am
AM,Armenian State Agrarian University,www.asau.am
AM,Armenian State University of Economics,www.asue.am
AM,Eurasia International University,www.eiu.am
AM,European Regional Educational Academy of Armenia,www.eriicta.am
AM,French University in Armenia (UFAR),www.ufar.am
AM,Mehrabyan Medical Institute and Medical College,www.armmed.am
AM,Russian-Armenian (Slavonic) State University,www.rau.am
AM,State Engineering University of Armenia,www.seua.am
AM,Yerevan Haibusak University,www.haybusak.org
AM,Yerevan State Medical University,www.ysmu.am
AM,Yerevan State University,www.ysu.am
AN,"American University of the Caribbean, Sint Maarten",www.aucmed.edu
AN,International University School of Medicine (IUSOM),www.internationaluniversity-schoolofmedicine.org
AN,"St.James's School of Medicine, Bonaire",www.sjsm.org
AN,University of Sint Eustatius School of Medicine,www.eustatiusmed.edu
AN,"University of the Netherlands Antilles, Curacao",www.una.an
AO,Universidade Católica de Angola,www.ucan.edu
AO,Universidade Gregorio Semedo,www.ugs.ed.ao
AO,Universidade Independente de Angola,www.unia.ao
AO,Universidade Lusíada de Angola,www.ulangola.net
AO,Universidade Metodista de Angola,www.uma.co.ao
AO,Universidade Metropolitana de Angola,www.unimetroangola.com
AO,Universidade Tecnica de Angola,www.utanga.co.ao
AO,Univesidade Agostinho Neto,www.uan.ao
AR,Instituto de Enseñanza Superior del Ejército,www.iese.edu.ar
AR,"Instituto Nacional de Educación Física ""General Manuel Belgrano""",www.unlu.edu.arBelgrano.htm
AR,Instituto Tecnológico de Buenos Aires,www.itba.edu.ar
AR,Instituto Universitario Aeronáutico,www.iua.edu.ar
AR,Instituto Universitario CEMA,www.cema.edu.ar
AR,Instituto Universitario de Ciencias de la Salud Fundación H.A. Barceló,www.barcelo.edu.ar
AR,Instituto Universitario de Estudios Navales y Marítimos,www.inun.edu.ar
AR,Instituto Universitario de la Policia Federal,www.universidad-policial.edu.ar
AR,Instituto Universitario Nacional del Arte,www.iuna.edu.ar
AR,Universidad Abierta Interamericana,www.vaneduc.edu.aruai
AR,Universidad Adventista del Plata,www.uapar.edu
AR,Universidad Argentina de la Empresa,www.uade.edu.ar
AR,"Universidad Argentina ""John F. Kennedy""",www.kennedy.edu.ar
AR,Universidad Atlantida Argentina,www.atlantida.edu.ar
AR,Universidad Austral Buenos Aires,www.austral.edu.ar
AR,Universidad Autónoma de Entre Ríos,www.uader.edu.ar
AR,Universidad Blas Pascal,www.ubp.edu.ar
AR,"Universidad CAECE, Buenos Aires",www.caece.edu.ar
AR,Universidad Católica Argentina Santa Maria de los Buenos Aires,www.uca.edu.ar
AR,Universidad Católica de Córdoba,www.uccor.edu.ar
AR,Universidad Católica de Cuyo,www.uccuyo.edu.ar
AR,Universidad Católica de La Plata,www.ucalp.edu.ar
AR,Universidad Católica de Salta,www.ucasal.edu.ar
AR,Universidad Católica de Santa Fé,www.ucsf.edu.ar
AR,Universidad Católica de Santiago del Estero,www.ucse.edu.ar
AR,Universidad Champagnat,www.uch.edu.ar
AR,Universidad de Belgrano,www.ub.edu.ar
AR,Universidad de Bologna - Representación en Buenos Aires,www.unibo.edu.ar
AR,Universidad de Buenos Aires,www.uba.ar
AR,Universidad de Ciencias Empresariales y Sociales,www.uces.edu.ar
AR,Universidad de Concepción del Uruguay,www.ucu.edu.ar
AR,Universidad de Congreso,www.ucongres.edu.ar
AR,Universidad de Flores - Buenos Aires,www.uflo.edu.ar
AR,Universidad del Aconcagua,www.uda.edu.ar
AR,Universidad de la Cuenca del Plata,www.ucp.edu.ar
AR,Universidad de la Fraternidad de Agrupaciones Santo Tomas de Aquino (FASTA),www.ufasta.edu.ar
AR,Universidad de la Marina Mercante,www.udemm.edu.ar
AR,Universidad del Centro Educativo Latinoamericano Rosario,www.ucel.edu.ar
AR,Universidad del Cine - Buenos Aires,www.ucine.edu.ar
AR,Universidad del Museo Social Argentino,www.umsa.edu.ar
AR,"Universidad del Norte ""Santo Tomás de Aquino""",www.unsta.edu.ar
AR,Universidad del Salvador,www.salvador.edu.ar
AR,Universidad de Mendoza,www.um.edu.ar
AR,Universidad de Morón,www.unimoron.edu.ar
AR,Universidad de Palermo,www.palermo.edu.ar
AR,Universidad de San Andres,www.udesa.edu.ar
AR,Universidad Empresarial Siglio 21,www.uesiglo21.edu.ar
AR,Universidad ISALUD,www.isalud.edu.ar
AR,"Universidad ""Juan Agustín Maza""",www.umaza.edu.ar
AR,Universidad Maimónides,www.maimonides.edu.ar
AR,Universidad Nacional de Catamarca,www.unca.edu.ar
AR,Universidad Nacional de Córdoba,www.unc.edu.ar
AR,Universidad Nacional de Cuyo,www.uncu.edu.ar
AR,Universidad Nacional de Entre Ríos,www.uner.edu.ar
AR,Universidad Nacional de Formosa,www.unf.edu.ar
AR,Universidad Nacional de General San Martín,www.unsam.edu.ar
AR,Universidad Nacional de General Sarmiento,www.ungs.edu.ar
AR,Universidad Nacional de Jujuy,www.unju.edu.ar
AR,Universidad Nacional de La Matanza,www.unlam.edu.ar
AR,Universidad Nacional de Lanus,www.unla.edu.ar
AR,Universidad Nacional de La Pampa,www.unlpam.edu.ar
AR,Universidad Nacional de la Patagonia Austral,www.unpa.edu.ar
AR,"Universidad Nacional de la Patagonia ""San Juan Bosco""",www.unp.edu.ar
AR,Universidad Nacional de La Plata,www.unlp.edu.ar
AR,Universidad Nacional de La Rioja,www.unlar.edu.ar
AR,Universidad Nacional del Centro de la Provincia de Buenos Aires,www.unicen.edu.ar
AR,Universidad Nacional del Comahue,www.uncoma.edu.ar
AR,Universidad Nacional del Littoral,www.unl.edu.ar
AR,Universidad Nacional del Nordeste,www.unne.edu.ar
AR,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,www.unnoba.edu.ar
AR,Universidad Nacional de Lomas de Zamora,www.unlz.edu.ar
AR,Universidad Nacional del Sur,www.uns.edu.ar
AR,Universidad Nacional de Luján,www.unlu.edu.ar
AR,Universidad Nacional de Mar del Plata,www.mdp.edu.ar
AR,Universidad Nacional de Misiones,www.unam.edu.ar
AR,Universidad Nacional de Quilmes,www.unq.edu.ar
AR,Universidad Nacional de Río Cuarto,www.unrc.edu.ar
AR,Universidad Nacional de Rosario,www.unr.edu.ar
AR,Universidad Nacional de Salta,www.unsa.edu.ar
AR,Universidad Nacional de San Juan,www.unsj.edu.ar
AR,Universidad Nacional de San Luis,www.unsl.edu.ar
AR,Universidad Nacional de Santiago del Estero,www.unse.edu.ar
AR,Universidad Nacional de Tres de Febrero,www.untref.edu.ar
AR,Universidad Nacional de Tucumán,www.unt.edu.ar
AR,Universidad Nacional de Villa María,www.unvm.edu.ar
AR,Universidad Notarial Argentina,www.universidadnotarial.edu.ar
AR,Universidad Tecnológica Nacional,www.utn.edu.ar
AR,Universidad Torcuato di Tella,www.utdt.edu
AT,Akademie der bildenden Künste Wien,www.akbild.ac.at
AT,Donau-Universität Krems,www.donau-uni.ac.at
AT,Fachhochschule Burgenland,www.fh-burgenland.at
AT,Fachhochschule für Bank- und Finanzwirtschaft,www.fh-vie.ac.at
AT,Fachhochschule JOANNEUM,www.fh-joanneum.at
AT,Fachhochschule Kärnten,www.fh-kaernten.ac.at
AT,Fachhochschule Krems,www.fh-krems.ac.at
AT,Fachhochschule Kufstein (Tirol),www.fh-kufstein.ac.at
AT,Fachhochschule Salzburg,www.fh-sbg.ac.at
AT,Fachhochschule St. Pölten,www.fh-stpoelten.ac.at
AT,Fachhochschule Vorarlberg,www.fhv.at
AT,Fachhochschule Wiener Neustadt,www.fhwn.ac.at
AT,Fachhochschulstudiengänge der Wiener Wirtschaft,www.fhw.at
AT,Fachhochschulstudiengänge Hagenberg,www.fh-hagenberg.at
AT,Fachhochschulstudiengänge Krems IMC,www.imc-krems.ac.at
AT,Fachhochschulstudiengänge Steyr,www.fh-steyr.at
AT,Fachhochschulstudiengänge Wels,www.fh-wels.at
AT,Institute of Science and Technology,www.ist.ac.at
AT,Katholisch-Theologische Privatuniversität Linz,www.kth-linz.ac.at
AT,MCI-Management Center Innsbruck,www.mci.edu
AT,Medizinische Universität Graz,www.meduni-graz.at
AT,Medizinische Universität Innsbruck,www.i-med.ac.at
AT,Medizinische Universität Wien,www.meduniwien.at
AT,Montanuniversität Leoben,www.unileoben.ac.at
AT,Private Universität für Medizinische Informatik und Technik Tirol,www.umit.at
AT,Technikum Wien,www.technikum-wien.at
AT,Technische Universität Graz,www.tugraz.at
AT,Technische Universität Wien,www.tuwien.ac.at
AT,Universität für angewandte Kunst Wien,ns2.uni-ak.ac.at
AT,Universität für Bodenkultur Wien,www.boku.ac.at
AT,Universität für künstlerische und industrielle Gestaltung Linz,www.khs-linz.ac.at
AT,Universität für Musik und darstellende Kunst Graz,www.kug.ac.at
AT,Universität für Musik und darstellende Kunst  Wien,www.mdw.ac.at
AT,Universität Graz,www.kfunigraz.ac.at
AT,Universität Innsbruck,www.uibk.ac.at
AT,Universität Klagenfurt,www.uni-klu.ac.at
AT,Universität Linz,www.uni-linz.ac.at
AT,Universität Mozarteum Salzburg,www.moz.ac.at
AT,Universität Salzburg,www.sbg.ac.at
AT,Universität Vienna,www.univie.ac.at
AT,Veterinärmedizinische Universität Wien,www.vu-wien.ac.at
AT,"Webster University, Vienna",www.webster.ac.at
AT,Wirtschaftsuniversität Wien,www.wu-wien.ac.at
AU,Australian Catholic University,www.acu.edu.au
AU,Australian Correspondence Schools,www.acs.edu.au
AU,Australian Defence Force Academy,www.adfa.oz.au
AU,Australian Lutheran College,www.alc.edu.au
AU,Australian Maritime College,www.amc.edu.au
AU,Australian National University,www.anu.edu.au
AU,Avondale College,www.avondale.edu.au
AU,Batchelor Institute of Indigenous Tertiary Education,www.nt.gov.aubatc
AU,Blue Mountains Hotel School,www.hotelschool.com.au
AU,Bond University,www.bond.edu.au
AU,Central Queensland University,www.cqu.edu.au
AU,Charles Darwin University,www.cdu.edu.au
AU,Charles Sturt University,www.csu.edu.au
AU,Curtin University of Technology,www.curtin.edu.au
AU,Deakin University,www.deakin.edu.au
AU,Edith Cowan University,www.ecu.edu.au
AU,Flinders University of South Australia,www.flinders.edu.au
AU,Griffith University,www.gu.edu.au
AU,Holmes Institute,www.holmes.edu.au
AU,"Institute Of Technology, Australia",www.iota.edu.au
AU,International College of Tourism and Hotel Management,www.icthm.edu.au
AU,James Cook University of North Queensland,www.jcu.edu.au
AU,La Trobe University,www.latrobe.edu.au
AU,Macquarie University,www.mq.edu.au
AU,Marcus Oldham College,www.marcusoldham.vic.edu.au
AU,Monash University,www.monash.edu.au
AU,Murdoch University,www.murdoch.edu.au
AU,Queensland University of Technology,www.qut.edu.au
AU,Royal Melbourne Institute of Technology,www.rmit.edu.au
AU,Southern Cross University,www.scu.edu.au
AU,Swinburne University of Technology,www.swin.edu.au
AU,University of Adelaide,www.adelaide.edu.au
AU,University of Ballarat,www.ballarat.edu.au
AU,University of Canberra,www.canberra.edu.au
AU,University of Divinity,www.divinity.edu.au
AU,University of Melbourne,www.unimelb.edu.au
AU,University of Newcastle,www.newcastle.edu.au
AU,University of New England,www.une.edu.au
AU,University of New South Wales,www.unsw.edu.au
AU,University of Notre Dame Australia,www.nd.edu.au
